user_input,reference_contexts,reference
Qual é o contexto da dissertação de mestrado relacionada ao Rio de Janeiro?,"['VINICIUS DOS SANTOS SILVA \n \n \n \n \n \nUM SISTEMA DE PERGUNTAS E \nRESPOSTAS UTILIZANDO LLM, RAG E \nENGENHARIA DE PROMPT PARA APOIAR \nA AVALIAÇÃO DE RELATÓRIOS DE \nSUSTENTABILIDADE DE EMPRESAS NO \nBNDES \n \n \n \n \n \n \n \n \n \n \n \n \n \nRio de Janeiro \n2025 \nDISSERTAÇÃO DE MESTRADO']","A dissertação de mestrado mencionada no contexto é sobre um sistema de perguntas e respostas utilizando LLM, RAG e engenharia de prompt para apoiar a avaliação de relatórios de sustentabilidade de empresas no BNDES, e está situada no Rio de Janeiro em 2025."
Como a dissertação de mestrado apresentada por Vinicius dos Santos Silva contribui para a avaliação de relatórios de sustentabilidade no contexto do BNDES?,"['UNIVERSIDADE FEDERAL DO RIO DE JANEIRO \nINSTITUTO DE MATEMÁTICA \nINSTITUTO TÉRCIO PACITTI DE APLICAÇÕES E PESQUISAS COMPUTACIONAIS \nPROGRAMA DE PÓS-GRADUAÇÃO EM INFORMÁTICA \n \n \n \n \n \n \nVINICIUS DOS SANTOS SILVA \n \n \n \n \n \n \n \nUM SISTEMA DE PERGUNTAS E RESPOSTAS UTILIZANDO LLM, \nRAG E ENGENHARIA DE PROMPT PARA APOIAR A AVALIAÇÃO \nDE RELATÓRIOS DE SUSTENTABILIDADE DE EMPRESAS NO \nBNDES \n \n \nDissertação de Mestrado apresentada ao \nPrograma de Pós -Graduação em Informática, \nInstituto de Matemática e Instituto Tércio Pacciti, \nUniversidade Federal do Rio de Janeiro, como \nrequisito parcial à obtenção do título de Mestre \nem Informática. \n \n \n \n \n \nOrientador: Prof.ª Carla Amor Divino Moreira Delgado, DSc. \n \n \n \n \n \n \n \nRio de Janeiro \n2025']","A dissertação de mestrado de Vinicius dos Santos Silva, intitulada 'Um sistema de perguntas e respostas utilizando LLM, RAG e engenharia de prompt para apoiar a avaliação de relatórios de sustentabilidade de empresas no BNDES', foi apresentada como requisito parcial para a obtenção do título de Mestre em Informática. Ela busca desenvolver um sistema que utiliza técnicas avançadas para facilitar a análise de relatórios de sustentabilidade, o que pode ser uma ferramenta valiosa para o BNDES na classificação socioambiental de empresas."
Qual é a relevância do Rio de Janeiro no contexto da dissertação de mestrado apresentada ao BNDES?,"['VINICIUS DOS SANTOS SILVA \n \n \nUM SISTEMA DE PERGUNTAS E RESPOSTAS UTILIZANDO LLM, \nRAG E ENGENHARIA DE PROMPT PARA APOIAR A AVALIAÇÃO \nDE RELATÓRIOS DE SUSTENTABILIDADE DE EMPRESAS NO \nBNDES \n \nDissertação de Mestrado apresentada ao \nPrograma de Pós -Graduação em Informática, \nInstituto de Matemática e Instituto Tércio Pacciti, \nUniversidade Federal do Rio de Janeiro, como \nrequisito parcial à obtenção do título de Mestre \nem Informática. \n \nAprovada em <data da aprovação>. \n______________________________________________________ \nProf.ª Carla Amor Divino Moreira Delgado, DSc, UFRJ \n \n \n \n______________________________________________________ \nProf.ª Carolina Gil Marcelino, DSc, UFRJ \n \n \n \n______________________________________________________ \nProf. Carlos Eduardo Pedreira, PhD, UFRJ \n \n \n \n \n \n \n \n \n \n \nRio de Janeiro \n2025']","A dissertação de mestrado foi apresentada ao Programa de Pós-Graduação em Informática da Universidade Federal do Rio de Janeiro, indicando que o Rio de Janeiro é o local onde a pesquisa foi realizada e onde a instituição está situada."
Como o BERT é utilizado na avaliação socioambiental de relatórios anuais por analistas do BNDES?,"['Resumo \n \nDOS SANTOS SILVA , Vinicius, 2025. Dissertação (Mestrado em Informática) – Instituto de \nMatemática, Instituto Tércio Pacciti, Universidade Federal do Rio de Janeiro, Rio de Janeiro, \n2025. \n \n \n \nEste artigo apresenta uma proposta de aplicação de Recuperação Aumentada (RAG) e \nEngenharia de Prompt na construção de um sistema de Perguntas e Respostas suportado por \num Modelo de Linguagem de Grande Escala (LLM) no contexto de recuperação de informações \nde Relatórios Anuais de empresas realizado por analistas do BNDES durante o proc esso de \navaliação socioambiental. Será avaliada se a relevância das respostas é melhorada pelo RAG, \nutilizando EM e F1 -score, além do benchmark RGB para a avaliação da qualidade da \nrecuperação e geração executados. Os resultados serão comparados com a efic iência de um \nclassificador aplicado aos relatórios anuais implementado em diferentes tipos de BERT.']","O BERT é utilizado na construção de um sistema de Perguntas e Respostas suportado por um Modelo de Linguagem de Grande Escala (LLM) no contexto de recuperação de informações de Relatórios Anuais de empresas. A eficiência do BERT é avaliada em comparação com a relevância das respostas melhoradas pelo RAG, utilizando métricas como EM e F1-score, além do benchmark RGB para a avaliação da qualidade da recuperação e geração executados."
Qual é a relação entre o Modelo de Linguagem de Grande Escala e os relatórios de sustentabilidade?,"['recuperação e geração executados. Os resultados serão comparados com a efic iência de um \nclassificador aplicado aos relatórios anuais implementado em diferentes tipos de BERT. \n \n \nPalavras-chave: Perguntas e R espostas (Q&A), Recuperação Aumentada  (RAG), Modelo de \nLinguagem de Grande Escala (LLM), Banco Nacional de Desenvolvimento Econômico e Social \n(BNDES), Relatórios de Sustentabilidade (ASG).']","O Modelo de Linguagem de Grande Escala (LLM) é mencionado no contexto de recuperação e geração de informações, que podem ser aplicadas na análise de relatórios anuais, incluindo os relatórios de sustentabilidade do BNDES."
Como o BNDES está utilizando um sistema de Perguntas e Respostas para avaliar relatórios de sustentabilidade de empresas?,"['Abstract \n \nDOS SANTOS SILVA , Vinicius. Um sistema de Perguntas e Respostas utilizando LLM, RAG e \nEngenharia de Prompt para apoiar a avaliação de relatórios de sustentabilidade de \nempresas no BNDES. 2025. <número de folhas>. Tese (Mestrado em Informática) – Instituto \nde Matemática, Instituto Tércio Pacciti, Universidade Federal do Rio de Janeiro, Rio de Janeiro, \n2025. \n \n \n \nThis paper proposes using Retrieval -Augmented Generation (RAG) and Prompt \nEngineering to build a Question & Answer system supported by a Large Language Model (LLM) \nin the context of information retrieval from Annual Reports of companies conducted by BNDES \nanalysts during the socio-environmental assessment process. The study will evaluate whether \nthe relevance of the answers is improved by RAG, us ing EM and F1 -score, in addition to the \nRGB benchmark for assessing the quality of retrieval and generation performed. The results']","O BNDES está propondo o uso de um sistema de Perguntas e Respostas que utiliza Recuperação Aumentada por Geração (RAG) e Engenharia de Prompt, apoiado por um Modelo de Linguagem Grande (LLM), para auxiliar na avaliação de relatórios anuais de empresas durante o processo de análise socioambiental realizado por analistas do BNDES."
Como o RAG melhora a relevância das respostas em sistemas de busca?,"['the relevance of the answers is improved by RAG, us ing EM and F1 -score, in addition to the \nRGB benchmark for assessing the quality of retrieval and generation performed. The results \nwill be compared with the efficiency of an ESG classifier implemented in distinct types of BERT. \n \nKeywords: Question-and-answer (Q&A), Retrieval -Augmented Generation (RAG), Large \nLanguage Model (LLM), Brazilian Development Bank (BNDES), Sustainability Reports (ESG).']","O RAG melhora a relevância das respostas utilizando métricas como EM e F1-score, além do benchmark RGB para avaliar a qualidade da recuperação e geração realizadas."
Quais são os principais elementos da Metodologia mencionada no documento?,['Lista de Símbolos \n<símbolo 1> <significado> \n<símbolo 2> <significado> \n<símbolo 3> <significado> \n<símbolo 4> <significado> \n<símbolo 5> <significado> \nSumário \n1 Introdução ................................................................................................................... 15 \n2 Referencial Teórico ...................................................................................................... 17 \n2.1 Modelos de Linguagem de Grande Escala (LLMs) ......................................................... 17 \n2.2 Recuperação e Geração Aumentada (RAG) .................................................................. 17 \n2.3 Engenharia de Prompt .................................................................................................. 18 \n3 Metodologia ................................................................................................................ 20'],"A Metodologia é abordada na seção 3 do documento, que está localizada na página 20."
Qual é a importância do S no contexto das iniciativas ASG para o BNDES?,"['15 \n \n \n \n1 Introdução \nPara realizar um empréstimo ou financiar um projeto, o Banco Nacional de \nDesenvolvimento Econômico e Social (BNDES) precisa entender bem as iniciativas ASG \n(Ambiental, Social e Governança) das empresas.  O BNDES utiliza um framework para \navaliação dessas e mpresas segundo os fatores ASG, atribuindo um score ao final [BNDES \nSustainability Bond Framework 2021].  Um documento importante, usado como insumo para \nessa análise pelos analistas do banco, é o Relatório Anual de atividades das empresas. \nAtualmente, os relatórios anuais são processados manualmente, em uma fase chamada \n“processo de triagem”, e suas seções são separadas e direcionadas para especialistas de cada \nárea (A, S, G) avaliarem. \nA análise dos relatórios envolve diversas avaliações quantitativas e qualitativas, sendo \nessa última carente de ferramentas automatizadas que auxiliem nas diferentes fases do \nprocesso.  \nDiversas áreas do BNDES vêm, nos últimos anos, incentivando e priorizando o']","O S, que se refere ao aspecto Social das iniciativas ASG, é crucial para o BNDES, pois o banco precisa entender bem as iniciativas sociais das empresas ao realizar empréstimos ou financiar projetos. O BNDES utiliza um framework para avaliação dessas empresas segundo os fatores ASG, atribuindo um score ao final."
Como o BNDES está utilizando Inteligência Artificial em seus processos?,"['essa última carente de ferramentas automatizadas que auxiliem nas diferentes fases do \nprocesso.  \nDiversas áreas do BNDES vêm, nos últimos anos, incentivando e priorizando o \ndesenvolvimento e/ou contratação de soluções que utilizem técnicas de Inteligência Artificial \naplicadas a sistemas de suporte ao negócio, desenvolvimento de software, infraestrutur a de \nTI, entre outros. Essas diretrizes se alinham com as tendências mais atuais do mercado, \nespecialmente na área de financiamentos, onde o BNDES se situa. Em sua dissertação de \nmestrado realizada com o apoio do BNDES, [Ruberg et al. 2021] propõe que o pr ocesso de \ntriagem dos documentos pode se beneficiar de um classificador de texto aplicado aos \nrelatórios anuais de sustentabilidade. O trabalho utiliza diversos tipos de BERT [Devlin et al. \n2018] para implementar esses classificadores e compara o desempenho de cada um utilizando \ncomo benchmark o algoritmo Naïve Bayes.']","O BNDES tem incentivado e priorizado o desenvolvimento e/ou contratação de soluções que utilizem técnicas de Inteligência Artificial aplicadas a sistemas de suporte ao negócio, desenvolvimento de software e infraestrutura de TI, especialmente na área de financiamentos."
