user_input,reference_contexts,reference,synthesizer_name
Quais são as principais seções do relatório anual de sustentabilidade da Vale que podem ajudar na análise socioambiental?,['Carta do presidente    3 \nCarta do Chairman    5 \nRelato Integrado  \ne demais publicações    7\nReparação    9\n ∙ Brumadinho e territórios evacuados    9\n ∙ Fundação Renova    20\nPlano de enfrentamento  \nà pandemia da covid-19    22 \nA Vale    30\n ∙ Estrutura operacional    34\n ∙ Estratégia e desempenho    36\n ∙ Modelo de Negócio    43\nEstratégia ESG    46\n ∙ Compromisso 2030    52\n ∙ Relacionamento com stakeholders    54\n ∙ Compromisso com acionistas    57\nGovernança    58\n ∙ Gestão de riscos    68\n ∙ Compliance    76\nAmbiental    80\n ∙ Barragens    82\n ∙ Biodiversidade    91\n ∙ Ecoeficiência    97\n ∙ Mudanças climáticas    105\nSocial    117\n ∙ Saúde e segurança    119\n ∙ Pessoas    123\n ∙ Atuação social    130\n ∙ Direitos Humanos    131\n ∙ Desenvolvimento territorial    137\n ∙ Comunidades locais    151\nAnexos\nParticipação em associações   157\nCarta de leitora independente    158\nDeclaração de verificação  \nindependente    160\nSumário de conteúdo da GRI    164\nExpediente    185\nSumário'],"As principais seções do relatório anual de sustentabilidade da Vale incluem: Estrutura operacional, Estratégia e desempenho, Modelo de Negócio, Estratégia ESG, Governança, Gestão de riscos, Compliance, e seções específicas sobre questões ambientais e sociais como Barragens, Biodiversidade, Saúde e segurança, Direitos Humanos, e Desenvolvimento territorial.",single_hop_specifc_query_synthesizer
Qual é o foco do Relato Integrado 2020?,['Anexos\nParticipação em associações   157\nCarta de leitora independente    158\nDeclaração de verificação  \nindependente    160\nSumário de conteúdo da GRI    164\nExpediente    185\nSumário\n2\nRelato Integrado 2020 Governança Ambiental Social Sumário de conteúdo da GRIEstratégia ESGA ValeCartasRelato Integrado  2020'],"O Relato Integrado 2020 aborda a Governança Ambiental Social e inclui um sumário de conteúdo da GRI, além de informações sobre a estratégia ESG da Vale.",single_hop_specifc_query_synthesizer
Quais foram as principais ações da Vale em 2021 em relação à tragédia de Brumadinho?,"['Carta do presidente GRI 102-14\nDesde que assumi a liderança da Vale, poucos meses \napós a tragédia provocada pelo rompimento da \nbarragem em Brumadinho, tenho enfatizado as \ntrês prioridades da empresa: pessoas, segurança e \nreparação. Essas três palavras nos inspiraram a seguir \no caminho que acreditamos ser fundamental para \nconstruir uma Vale melhor. \nEstamos determinados a reparar integralmente e \ncompensar os danos causados pela tragédia e, não me \ncanso de dizer, que jamais esqueceremos Brumadinho. \nEstamos imbuídos em contribuir, cada vez mais, para \nmelhoria e desenvolvimento das comunidades em \nque nós atuamos. Sabemos que existe um caminho a \nser percorrido. Mas seguimos firmes em estabelecer \num Novo Pacto com a Sociedade, pilar estratégico que \nadotamos em 2019.\nEm fevereiro de 2021, demos um passo importante \nrumo ao compromisso com a reparação integral de \nBrumadinho. Firmamos um Acordo Global de BRL \n37,7 bilhões, que contempla projetos reparatórios']","Em fevereiro de 2021, a Vale firmou um Acordo Global de BRL 37,7 bilhões, que contempla projetos reparatórios, como parte do compromisso com a reparação integral de Brumadinho.",single_hop_specifc_query_synthesizer
Quais são os Ministérios Públicos Federal envolvidos no acordo de reparação de Brumadinho?,"['Em fevereiro de 2021, demos um passo importante \nrumo ao compromisso com a reparação integral de \nBrumadinho. Firmamos um Acordo Global de BRL \n37,7 bilhões, que contempla projetos reparatórios \ne compensatórios, com o Estado de Minas Gerais, \na Defensoria Pública do Estado de Minas Gerais \ne os Ministérios Públicos Federal e do Estado de \nMinas Gerais. Este Acordo traz maior transparência, \nlegitimidade e segurança jurídica a todos os envolvidos. \nContinuaremos empenhados na celebração de acordos \npara indenização individual, que já alcançam 9 mil \npessoas.\nEnquanto avançávamos na reparação e na retomada de \nnossas operações de minério de ferro, vimos, a partir de \n2020, a pandemia da covid-19 mudar vidas por todo o \nmundo.\nDe imediato, começamos a fazer a nossa parte \npara conter a disseminação do coronavírus, com a \nimplantação de medidas de segurança em todas as \nnossas operações. Criamos processos internos de \nprevenção e instituímos o uso de equipamentos e']","Os Ministérios Públicos Federal e do Estado de Minas Gerais estão envolvidos no Acordo Global de BRL 37,7 bilhões, que contempla projetos reparatórios e compensatórios relacionados à reparação integral de Brumadinho.",single_hop_specifc_query_synthesizer
Qual foi a resposta da Vale para a pandemia de coronavírus?,"['para conter a disseminação do coronavírus, com a \nimplantação de medidas de segurança em todas as \nnossas operações. Criamos processos internos de \nprevenção e instituímos o uso de equipamentos e \ntecnologias capazes de mitigar o risco de contágio, \nseguindo os protocolos de classe mundial.\nO trabalho remoto foi adotado por nós em 13 de março \nde 2020 e, em dezembro, tínhamos mais de 15 mil \npessoas trabalhando nesse regime. Não se enfrenta \num desafio desse tamanho sem transformações. Já \ndestinamos mais de USD 109 milhões ao combate \nda covid-19. Tudo o que podíamos foi colocado à \ndisposição: aviões de carga, milhões de testes rápidos, \nmáscaras, luvas e aventais, ambulâncias, toneladas \nEduardo Bartolomeo\nPresidente da Vale\n3\nRelato Integrado 2020 Governança Ambiental Social Sumário de conteúdo da GRIEstratégia ESGA ValeCartas']","A Vale adotou medidas de segurança em todas as suas operações para conter a disseminação do coronavírus, criando processos internos de prevenção e utilizando equipamentos e tecnologias para mitigar o risco de contágio. O trabalho remoto foi implementado em 13 de março de 2020, e em dezembro, mais de 15 mil pessoas estavam trabalhando nesse regime. A empresa destinou mais de USD 109 milhões ao combate da covid-19, disponibilizando aviões de carga, milhões de testes rápidos, máscaras, luvas, aventais, ambulâncias e toneladas de recursos.",single_hop_specifc_query_synthesizer
Qual é o valor do investimento que a Vale planeja fazer para reduzir as emissões de gases de efeito estufa?,"['de gestão integrada - Vale Production System, o VPS, \nalinhado aos nossos temas estratégicos, atuando como \num catalisador da disciplina operacional em nossas \natividades. \nImplantamos também, em 95% das unidades da Vale, \na gestão da Segurança com foco na Identificação \nde Perigos e no Gerenciamento dos Riscos (Hazard \nIdentification and Risk Assessment – HIRA).\nReconhecemos que as mudanças climáticas \nrepresentam cada vez mais um dos maiores desafios \nenfrentados pela sociedade. Vamos investir mais de \nUSD 2 bilhões para reduzir em 33% as emissões de \ngases de efeito estufa de nossas operações (Escopos 1 \ne 2) até 2030. É o maior investimento já comprometido \npela indústria da mineração para mitigação das \nmudanças climáticas e faz parte do compromisso \nassumido pela Vale de se tornar carbono neutra até \n2050. \nPara as emissões de Escopo 3, estabelecemos a meta \nde redução de 15% das emissões líquidas até 2035, \ncom base nas emissões de 2018. Esse compromisso']",A Vale planeja investir mais de USD 2 bilhões para reduzir em 33% as emissões de gases de efeito estufa de suas operações até 2030.,single_hop_specifc_query_synthesizer
Como a empresa aborda Direitos Humanos?,"['2050. \nPara as emissões de Escopo 3, estabelecemos a meta \nde redução de 15% das emissões líquidas até 2035, \ncom base nas emissões de 2018. Esse compromisso \nconsidera que a maior parte das nossas emissões \nestá na cadeia de valor, mais especificamente no \nprocessamento do minério de ferro pela indústria \nsiderúrgica.\nTodas as nossas metas estão alinhadas à ambição \ndo Acordo de Paris. Temos o firme compromisso \nde contribuir com soluções que ajudem a limitar o \naumento da temperatura média global em até 2°C, \nempenhando esforços adicionais para contribuir com a \nlimitação desse aumento a 1,5ºC.\nNo âmbito social fortalecemos a governança do tema \nDireitos Humanos na empresa. Iniciamos a realização \nde processos de avaliação de risco e due diligence em \nDireitos Humanos em nossas operações e cadeia de valor.\nNeste relatório você encontrará mais informações sobre \nos nossos principais resultados sociais, ambientais, \neconômicos e de governança, além dos nossos']",A empresa fortaleceu a governança do tema Direitos Humanos e iniciou a realização de processos de avaliação de risco e due diligence em Direitos Humanos em suas operações e cadeia de valor.,single_hop_specifc_query_synthesizer
Quais são os principais compromissos da Vale em relação à sociedade?,"['Neste relatório você encontrará mais informações sobre \nos nossos principais resultados sociais, ambientais, \neconômicos e de governança, além dos nossos \nesforços para reparação e gestão de riscos. Como \npresidente da Vale, reafirmo o meu compromisso \nde dedicar todos os recursos possíveis para liderar a \nempresa rumo às transformações necessárias para criar \ne compartilhar valor com a sociedade.\nEduardo Bartolomeo \nPresidente da Vale\nde álcool gel. Ajudamos a ampliar o número de \nleitos e hospitais de campanha e a reformar hospitais \nexistentes. Além disso, adiantamos pagamentos para \npequenos e médios fornecedores. Mantivemos todos \nos nossos patrocínios culturais e sociais mesmo com a \ninterrupção de suas atividades.\nIniciamos um intenso processo de transformação \ncultural e, ao longo do ano de 2020, refletimos muito \nsobre o nosso papel e objetivos como empresa. Nesse \ninício de jornada compreendemos hoje que existimos \npara melhorar a vida e transformar o futuro das pessoas']","A Vale, sob a liderança de Eduardo Bartolomeo, reafirma seu compromisso de dedicar todos os recursos possíveis para liderar a empresa rumo às transformações necessárias para criar e compartilhar valor com a sociedade.",single_hop_specifc_query_synthesizer
Qual foi o novo propósito da Vale lançado em 2021?,"['sobre o nosso papel e objetivos como empresa. Nesse \ninício de jornada compreendemos hoje que existimos \npara melhorar a vida e transformar o futuro das pessoas \ne das comunidades onde atuamos, juntos! Esse é o \npropósito da Vale. É isso o que vai direcionar a nossa \ncaminhada daqui para frente, que sabemos ser longa, \nmas estamos determinados a seguir avançando, com \nhumildade, escuta e diálogo.\nComo um vetor da transformação cultural que \nperseguimos, institucionalizamos o nosso modelo \nExistimos para melhorar a vida \ne transformar o futuro. Juntos: \nnovo propósito da Vale foi \nlançado em 2021\n4\nRelato Integrado  2020 Governança Ambiental Social Sumário de conteúdo da GRIEstratégia ESGA ValeCartas']","O novo propósito da Vale, lançado em 2021, é existir para melhorar a vida e transformar o futuro das pessoas e das comunidades onde atuam, juntos.",single_hop_specifc_query_synthesizer
Quais são os compromissos da Vale em relação aos direitos humanos?,"['Carta do Chairman GRI 102-14\nA Vale está determinada a contribuir para o \ndesenvolvimento das regiões onde atua, gerando \nimpacto positivo, prevenindo e mitigando impactos \nnegativos em temas ambientais, sociais e econômicos. \nPara aumentar a efetividade das ações, a estratégia \nESG está conectada aos pilares do nosso negócio. \nDesde 2019, o Conselho de Administração tem \ndesempenhado um papel importante nas discussões \nsobre o planejamento estratégico plurianual \nda empresa, com foco na gestão de riscos e \noportunidades em temas ESG. O Conselho apoiou \niniciativas da Vale para fortalecer ainda mais os padrões \nde segurança, proporcionou avanços em governança \ne desenvolveu uma abordagem de risco mais \nconservadora.\nReconhecemos publicamente o compromisso de \ncontribuir com a agenda de clima e de inserir as \npessoas no centro de nossa atuação, priorizando a \nsaúde, a segurança e o respeito aos Direitos Humanos \nde nossos empregados e das comunidades das regiões \nonde operamos.']","A Vale reconhece publicamente o compromisso de contribuir com a agenda de clima e de inserir as pessoas no centro de sua atuação, priorizando a saúde, a segurança e o respeito aos Direitos Humanos de seus empregados e das comunidades das regiões onde opera.",single_hop_specifc_query_synthesizer
