user_input,reference_contexts,reference,synthesizer_name
Qual é a importância da governança corporativa no relatório ESG de 2021 do Itaú Holding?,['RELATÓRIO ESG 2021 | ITAÚ HOLDING | 2\nambiental\n59 meio ambiente\n60 emissões de carbono\n68 energia\n70 água\n71 resíduos\nsocial\n75 colaboradores\n77 experiência do colaborador \n80 diversidade  \n94 atração e desenvolvimento \n103 remuneração e benefícios \n107 saúde e segurança\n114 relacionamento com fornecedores\n117 investimento social\n128 direitos humanos\ngovernança\n131 governança corporativa\n136 integridade e ética\n141 canais de manifestação\nS\nG\nE\n03 mensagem do CEO\n05 sobre o relatório\n06  estratégia ESG\nconteúdo\n11 mudanças climáticas\n14 biodiversidade\n19 risco socioambiental e climático\n28  finanças sustentáveis\n30 asset management \n36 banco de atacado \n38 banco de investimentos \n41 banco de varejo\n45 educação financeira\n48  relacionamento com clientes\n51  privacidade e proteção de dados\nESG   \nnos negócios'],"A governança corporativa é um dos aspectos destacados no relatório ESG de 2021 do Itaú Holding, onde é mencionada na seção de governança, que inclui tópicos como integridade e ética, e canais de manifestação.",single_hop_specifc_query_synthesizer
Como o Itaú Unibanco tem integrado aspectos ESG em sua gestão e planejamento?,"['relatório ESG 2021 | Itaú Unibanco Holding  S.A. | 3\nNos últimos anos, vivenciamos a expansão da \nconsciência, em diversas esferas da sociedade, \nsobre os desafios sociais, ambientais e climáticos \nque estão postos a essa e às futuras gerações. Na \nesfera empresarial, essa onda ampliou o alerta \nsobre a relevância e a urgência da integração de \naspectos ESG ao planejamento e gestão de riscos, \npara a construção de negócios perenes, resilientes \ne sustentáveis. No Itaú Unibanco, reconhecemos a \ninfluência do nosso negócio em praticamente todos \nos setores empresariais e na vida de milhões de \nclientes. A jornada por um negócio e cadeia mais \nsustentáveis começou há mais de 20 anos.\nA experiência e a solidez na integração da sustenta-\nbilidade ao nosso negócio fazem com que sejamos \nreconhecidos pelos principais índices e ratings de sus-\ntentabilidade do mundo. E, também, nos dão força \npara buscar sempre o próximo passo, em uma jornada \nde evolução que nunca termina. Para orientar esse']","O Itaú Unibanco reconhece a influência de seu negócio em diversos setores e na vida de milhões de clientes, e a jornada por um negócio mais sustentável começou há mais de 20 anos. A experiência e a solidez na integração da sustentabilidade ao seu negócio fazem com que o banco seja reconhecido pelos principais índices e ratings de sustentabilidade do mundo.",single_hop_specifc_query_synthesizer
Quais foram os avanços do BNDES em 2021 em relação à agenda ESG?,"['tentabilidade do mundo. E, também, nos dão força \npara buscar sempre o próximo passo, em uma jornada \nde evolução que nunca termina. Para orientar esse \ncaminho, em 2019, criamos nossos Compromissos \nde Impacto Positivo, que direcionam nossos esforços \nao desenvolvimento de iniciativas em dez temáticas \nem que temos maior potencial de impacto positivo, \napresentadas ao longo desta publicação.\nEm 2021, seguimos avançando na agenda ESG \nalinhada aos nossos compromissos. Alcançamos \nmais de R$ 170 bilhões, desde 2019, destinados ao \nfinanciamento para setores de impacto positivo, \nprodutos ESG para o varejo e estruturação de renda \nfixa com selo ESG. A meta é, até 2025, chegar a \nR$ 400 bilhões direcionados a produtos e serviços \nque promovam uma economia mais sustentável, \nem frentes relacionadas à energia renovável e \nacessível, manejo responsável dos recursos naturais, \npreservação da biodiversidade e florestas, saúde e \neducação e infraestruturas que enderecem desafios']","Em 2021, o BNDES avançou na agenda ESG alinhada aos seus compromissos, alcançando mais de R$ 170 bilhões, desde 2019, destinados ao financiamento para setores de impacto positivo, produtos ESG para o varejo e estruturação de renda fixa com selo ESG.",single_hop_specifc_query_synthesizer
Como o Plano Amazônia contribui para a transformação dos negócios em uma economia de baixo carbono?,"['acessível, manejo responsável dos recursos naturais, \npreservação da biodiversidade e florestas, saúde e \neducação e infraestruturas que enderecem desafios \nambientais, como transporte ferroviário, saneamento \ne gestão de resíduos. \nFrente à urgência dos desafios climáticos, além do \nfinanciamento de impacto positivo, do rigoroso \nprocesso de diligência na concessão de crédito e \nfinanciamento e da integração de fatores ESG - \ncobrindo 99,71% dos ativos elegíveis na Itaú Asset \nManagement -, intensificamos nossas iniciativas  \npara impulsionar a transformação dos negócios  \nde nossos clientes, a partir do Plano Amazônia e  \nda oferta de produtos que incentivam uma economia  \nde baixo carbono.\nGRI 102-14 |\nmensagem do CEO\nMilton Maluhy Filho, \nCEO  \nmensagem do CEO\nsobre o relatório\nestratégia ESG \nESG nos \nnegócios\nmudanças climáticas\nbiodiversidade\nrisco socioambiental\nfinanças sustentáveis\neducação financeira\nclientes\nprivacidade de dados\nambiental\nmeio ambiente\nemissões de carbono']","O Plano Amazônia intensifica as iniciativas para impulsionar a transformação dos negócios de nossos clientes, oferecendo produtos que incentivam uma economia de baixo carbono, além de abordar desafios ambientais como a preservação da biodiversidade e o manejo responsável dos recursos naturais.",single_hop_specifc_query_synthesizer
Quais são os principais aspectos relacionados a mudanças climáticas no contexto de ESG nos negócios?,['ESG nos \nnegócios\nmudanças climáticas\nbiodiversidade\nrisco socioambiental\nfinanças sustentáveis\neducação financeira\nclientes\nprivacidade de dados\nambiental\nmeio ambiente\nemissões de carbono\nenergia\nágua\nresíduos\nsocial\ncolaboradores\nexperiência\ndiversidade\natração e \ndesenvolvimento\nremuneração\nsaúde e segurança\nfornecedores\ninvestimento social\ndireitos humanos\ngovernança\ngovernança\nintegridade e ética\ncanais de manifestação'],"No contexto de ESG nos negócios, as mudanças climáticas estão relacionadas a aspectos como risco socioambiental, emissões de carbono, e a necessidade de práticas de finanças sustentáveis que considerem o impacto ambiental das operações.",single_hop_specifc_query_synthesizer
Quais foram as principais iniciativas do Itaú Unibanco em 2021 para promover a sustentabilidade e a inclusão financeira?,"['relatório ESG 2021 | Itaú Unibanco Holding  S.A. | 4\nEm linha com esses esforços, lançamos nosso \nCompromisso Net Zero, para nos tornarmos um \nbanco carbono neutro nos escopos 1, 2 e 3 até 2050. \nA adesão a 100% das recomendações da Task Force \non Climate Related Financial Disclosures (TCFD) \ne à Partnership for Carbon Accounting Financials \n(PCAF) nos apoia na trajetória para alcançar essa \nmeta, orientando e nos dando referências para a \nadoção das melhores práticas para a gestão do risco \nclimático e a mensuração das emissões financiadas.\nTambém seguimos exercendo nosso papel de influência \npara a melhora da vida das pessoas, sejam nossos \ncolaboradores, clientes ou a sociedade em geral, por \nmeio de ações afirmativas que endereçam os desafios \nda diversidade, da promoção da educação e inclusão \nfinanceira, do apoio ao empreendedorismo e do \namplo investimento de nossos institutos e fundações, \nque chegou a R$ 764 milhões em 2021, em áreas']","Em 2021, o Itaú Unibanco lançou seu Compromisso Net Zero, visando se tornar um banco carbono neutro até 2050. A adesão a 100% das recomendações da Task Force on Climate Related Financial Disclosures (TCFD) e à Partnership for Carbon Accounting Financials (PCAF) foi uma parte importante dessa trajetória. Além disso, o banco investiu R$ 764 milhões em ações afirmativas que abordam desafios de diversidade, promoção da educação, inclusão financeira e apoio ao empreendedorismo.",single_hop_specifc_query_synthesizer
"Quais são os principais compromissos da empresa em relação ao ESG, especialmente no que diz respeito à diversidade e inclusão?","['da diversidade, da promoção da educação e inclusão \nfinanceira, do apoio ao empreendedorismo e do \namplo investimento de nossos institutos e fundações, \nque chegou a R$ 764 milhões em 2021, em áreas \nfundamentais para o desenvolvimento do país como \neducação, mobilidade e saúde. \nReforçamos nosso compromisso com a diversidade \ne, até 2025, nosso objetivo é ter de 35% a 40% de \nmulheres na liderança, com 50% de representatividade \nno fluxo de contratações. E ter de 27% a 30% de repre-\nsentatividade negra na organização, com evolução em \ntodos os níveis de cargo, incluindo a liderança, com 40% \nde representatividade no fluxo de contratações.\nNossa jornada na agenda ESG começou há mais de  \n20 anos. No campo da transparência, além de cumprir \nas principais diretrizes internacionais de prestação \nde contas, como SASB e GRI, seguimos também as \nmelhores práticas sobre divulgação e transparência \ncorporativa e orientações do Value Reporting \nFoundation e IFRS Foundation. Como reflexo da']","A empresa reforça seu compromisso com a diversidade, estabelecendo como objetivo ter de 35% a 40% de mulheres na liderança até 2025, com 50% de representatividade no fluxo de contratações. Além disso, busca ter de 27% a 30% de representatividade negra na organização, com evolução em todos os níveis de cargo, incluindo a liderança, com 40% de representatividade no fluxo de contratações. Sua jornada na agenda ESG começou há mais de 20 anos, e a empresa cumpre as principais diretrizes internacionais de prestação de contas, como SASB e GRI, além de seguir as melhores práticas sobre divulgação e transparência corporativa.",single_hop_specifc_query_synthesizer
Qual é a importância da transparência para a sustentabilidade no Brasil?,"['de contas, como SASB e GRI, seguimos também as \nmelhores práticas sobre divulgação e transparência \ncorporativa e orientações do Value Reporting \nFoundation e IFRS Foundation. Como reflexo da \nsolidez de nosso compromisso com a transparência, \nestamos presentes nas principais carteiras de índices \nde sustentabilidade nacionais e internacionais.\nConvidamos todos os nossos públicos a conhecerem, \nnas páginas a seguir, essas e outras iniciativas \ndesenvolvidas para tornar nosso Banco mais \nsustentável e gerador de valor positivo em suas \nrelações. Acreditamos que a transparência sobre \ncomo cuidamos da integração ESG ao dia a dia \nde nosso negócio, em todos os seus aspectos, é \nfundamental para impulsionarmos a sustentabilidade \nempresarial no Brasil e, também, nos conectarmos \ncontinuamente com as oportunidades de fazer ainda \nmelhor sempre.\nBoa leitura!\nMilton Maluhy Filho,\nCEO do Itaú Unibanco.\n29 de abril de 2022. | GRI 102-14 |\nmensagem do CEO\nsobre o relatório\nestratégia ESG']",A transparência sobre como cuidamos da integração ESG ao dia a dia de nosso negócio é fundamental para impulsionarmos a sustentabilidade empresarial no Brasil e nos conectarmos continuamente com as oportunidades de fazer ainda melhor sempre.,single_hop_specifc_query_synthesizer
Qual a data da mensagem do CEO do Itaú Unibanco?,"['melhor sempre.\nBoa leitura!\nMilton Maluhy Filho,\nCEO do Itaú Unibanco.\n29 de abril de 2022. | GRI 102-14 |\nmensagem do CEO\nsobre o relatório\nestratégia ESG \nESG nos \nnegócios\nmudanças climáticas\nbiodiversidade\nrisco socioambiental\nfinanças sustentáveis\neducação financeira\nclientes\nprivacidade de dados\nambiental\nmeio ambiente\nemissões de carbono\nenergia\nágua\nresíduos\nsocial\ncolaboradores\nexperiência\ndiversidade\natração e \ndesenvolvimento\nremuneração\nsaúde e segurança\nfornecedores\ninvestimento social\ndireitos humanos\ngovernança\ngovernança\nintegridade e ética\ncanais de manifestação']",A data da mensagem do CEO do Itaú Unibanco é 29 de abril de 2022.,single_hop_specifc_query_synthesizer
Qual é o objetivo do relatório ESG 2021 do Itaú Unibanco Holding S.A.?,"['relatório ESG 2021 | Itaú Unibanco Holding  S.A. | 5\nBem-vindos ao relatório ESG 2021 do Itaú Unibanco Holding S.A., nossa \nprincipal ferramenta de reporte de indicadores ambientais, sociais e de \ngovernança, publicada anualmente. | GRI 102-1 | \nEste relatório abrange o período entre 01 de janeiro de 2021 a 31 de dezem-\nbro de 2021, sendo que fatos relevantes após esse período e até a aprovação \ndo relatório também foram incluídos, e apresenta indicadores aderentes \nàs diretrizes da Global Reporting Initiative (GRI), na opção essencial, e aos \nindicadores Sustainability Accounting Standards Board (SASB) nas categorias \n“Commercial Banking”, “Investment Banking & Brokerage” e “Asset Management \n& Custody Activities. | GRI 102-46 | GRI 102-50 | GRI 102-52 | GRI 102-54 |\nAo longo do relatório, você encontrará os símbolos |GRI| e |SASB|, que fazem \nreferência aos indicadores reportados naquele trecho. Ao final da publicação, o']","O relatório ESG 2021 do Itaú Unibanco Holding S.A. é a principal ferramenta de reporte de indicadores ambientais, sociais e de governança, publicada anualmente.",single_hop_specifc_query_synthesizer
