user_input,reference_contexts,reference,synthesizer_name
Quais informações sobre o Instituto BRF podem ser encontradas no relatório anual de sustentabilidade?,"['Sumário\n1. \nApresentação\nRelato e materialidade\nTemas materiais\nMensagem da liderança\n2022 em destaques\n \n3\n4\n7\n8\n10\n \n112\n113\n113\n118\n133\n136\n137\n151\n152\n6.  \nIndicadores e anexo\n Sumário GRI\n Conteúdos \ngerais\n T\nópicos materiais\nSASB\nTCFD\nAnexo\n Carta de asseguração\nInformações corpor\nativas e créditos\n5. \nGeração de valor\nDesempenho do negócio\nFornecedores e cadeia produtiva\nComunidades e impacto social\nInstituto BRF\nBem-estar animal\nGestão ambiental\nEmissões e clima\nRecursos naturais\nResíduos e embalagens\n 4. \nCultura e engajamento\nDesenvolvimento do capital humano\nEducação e capacitação\nSaúde e segurança\nDiversidade, equidade e inclusão\n \n64\n68\n68\n70\n74\n2.  \nNosso jeito de  \nfazer negócios\nPresença global\nPortfólio & marcas\nModelo de negócio\nGovernança corporativa\nÉtica e Compliance\nGestão de riscos e oportunidades\nPrincipais riscos e oportunidades\nQualidade BRF\nResponsabilidade pelo produto\nParceria com clientes e consumidores\nFomento à inovação\nPortfólio e marca']","No relatório anual de sustentabilidade, o Instituto BRF é mencionado em relação a temas como bem-estar animal, gestão ambiental, emissões e clima, recursos naturais, e resíduos e embalagens.",single_hop_specifc_query_synthesizer
"Quais são os principais tópicos abordados no Relatório Integrado 2022 da BRF, especialmente em relação à gestão de riscos e oportunidades?",['Gestão de riscos e oportunidades\nPrincipais riscos e oportunidades\nQualidade BRF\nResponsabilidade pelo produto\nParceria com clientes e consumidores\nFomento à inovação\nPortfólio e marca\nExcelência e transformação digital\n \n14 \n16\n17\n18\n19\n21\n26\n29\n34\n34\n38\n42\n43\n44\n3. \nNossa estratégia\nAmbiente de negócios e planejamento\nAlocação de capital\nPlano BRF de Sustentabilidade\nCompromissos & resultados\n \n50\n51\n54\n56\n58\n \n76\n77\n86\n91\n91\n96\n102\n103\n107\n110\nClique sobre os \nítens para navegar\n2\nRelatório  \nIntegrado 2022'],"O Relatório Integrado 2022 da BRF aborda diversos tópicos, incluindo gestão de riscos e oportunidades, qualidade da BRF, responsabilidade pelo produto, parceria com clientes e consumidores, fomento à inovação, portfólio e marca, excelência e transformação digital, além de estratégias relacionadas ao ambiente de negócios e planejamento, alocação de capital, e compromissos e resultados do plano de sustentabilidade.",single_hop_specifc_query_synthesizer
Qual é o foco do relatório integrado de 2022 da BRF no Brasil?,"['Seja bem-vindo ao  \nRelatório Integrado 2022 \nda BRF!  \nEste relatório está \ndisponível nos idiomas \nportuguês e inglês. \nPara acessar os PDFs, \nclique aqui\nEste documento dá sequência à nossa jornada de comu-\nnicação de resultados, com foco em divulgar aos nossos \nstakeholders projetos, investimentos, estratégias e indi-\ncadores-chave de desempenho nas frentes financeira e \nnão financeira.\nEste relato aborda o período de 1º de janeiro a 31 de \ndezembro de 2022, cobrindo todas as nossas opera-\nções no Brasil e em mercados internacionais (fábricas, \ngranjas, centros de distribuição, inovação, escritórios \ncomerciais e corporativos), mesmas entidades descri-\ntas nas Demonstrações Financeiras. Os indicadores de \nsustentabilidade abrangem vários temas em toda nossa \ncadeia de fornecimento, como qualidade e segurança do \nalimento, bem-estar animal, desenvolvimento do nosso \ncapital humano, ações frente às mudanças climáticas e \nresponsabilidade na cadeia de valor . Quando aplicável,']","O relatório integrado de 2022 da BRF foca em divulgar aos stakeholders projetos, investimentos, estratégias e indicadores-chave de desempenho nas frentes financeira e não financeira, cobrindo todas as operações no Brasil e em mercados internacionais.",single_hop_specifc_query_synthesizer
Qual é a importância do SASB no relatório de sustentabilidade?,"['alimento, bem-estar animal, desenvolvimento do nosso \ncapital humano, ações frente às mudanças climáticas e \nresponsabilidade na cadeia de valor . Quando aplicável, \nas seções que apresentam dados distintos para empre-\nsas são sinalizadas no texto, e as diferentes abordagens \nsão descritas nas notas de rodapé dos indicadores.\nComo em ciclos anteriores, adotamos como referências \npara este relatório as Normas da Global Reporting Initia-\ntive (GRI), em sua versão mais recente (2021); as diretri-\nzes de Relato Integrado da IFRS Foundation; e os indi-\ncadores do Sustainability Accounting Standards Board \n(SASB). Também referenciamos nossos compromissos \ne ações vinculados aos Objetivos de Desenvolvimento \nSustentável (ODS) e ao Pacto Global das Nações Unidas, \ndo qual somos signatários desde 2007.\nOs dados econômico-financeiros se vinculam às nossas \ndemonstrações financeiras, disponíveis aqui, e seguem os \npadrões brasileiros e as normas do International Financial']","O SASB é referenciado no relatório como um dos indicadores utilizados, junto com as Normas da Global Reporting Initiative (GRI) e as diretrizes de Relato Integrado da IFRS Foundation, para apresentar dados distintos para empresas e descrever diferentes abordagens nas notas de rodapé dos indicadores.",single_hop_specifc_query_synthesizer
Quais são as referências de mercado que a B3 considera em relação aos dados econômico-financeiros?,"['Os dados econômico-financeiros se vinculam às nossas \ndemonstrações financeiras, disponíveis aqui, e seguem os \npadrões brasileiros e as normas do International Financial \nReporting Standards (IFRS), conforme padrões da Co-\nmissão de Valores Mobiliários (CVM) e da Securities and \nExchange Commission (SEC) norte-americana. Revisões \nde informações pontuais dos indicadores e variações de \nescopo são detalhadas em notas de rodapé. Os dados \nforam assegurados por auditoria externa independente, a \nKPMG, e aprovados pela Diretoria Executiva e pelo Conse-\nlho de Administração.\nOutras referências de mercado que consideramos são \nos requisitos de índices como o de Sustentabilidade \nEmpresarial (ISE), da bolsa brasileira (B3), e o Dow Jones \nGRI 2-2, 2-3, 2-4, 2-5, 2-14 Sustainability Index (DJSI), da Bolsa de Nova York; e os \ncritérios da Associação Brasileira das Companhias Abertas \n(Abrasca). Nossa liderança assume responsabilidade por']","A B3 considera os requisitos de índices como o de Sustentabilidade Empresarial (ISE) e o Dow Jones GRI 2-2, 2-3, 2-4, 2-5, 2-14 Sustainability Index (DJSI), além dos critérios da Associação Brasileira das Companhias Abertas (Abrasca).",single_hop_specifc_query_synthesizer
Qual é a importância da Abrasca no relatório de sustentabilidade?,"['critérios da Associação Brasileira das Companhias Abertas \n(Abrasca). Nossa liderança assume responsabilidade por \neste relatório e o aprova, assim como se empenha para a \ncorreta aplicação do pensamento integrado na concepção \ne estruturação do documento. \nA estrutura do relato busca traduzir nossa visão estra-\ntégica e os temas-chave na percepção dos públicos de \nrelacionamento – incluindo fornecedores, colaboradores, \nliderança, clientes, consumidores, comunidades e órgãos \nreguladores –, identificados em um novo processo de ma-\nterialidade. Também expressa os compromissos e pilares \ndo Plano BRF de Sustentabilidade, com seus resultados \nconcretos descritos no capítulo de mesmo nome.\nBuscamos construir relações pautadas por nossos com-\npromissos de Integridade, Qualidade e Segurança, tendo \nneste relatório um importante instrumento de prestação \nde contas. Caso tenha dúvidas, sugestões ou apontamen-\ntos sobre o conteúdo do Relatório Integrado 2022, entre']","A Abrasca estabelece critérios que são fundamentais para a elaboração do relatório de sustentabilidade, garantindo que a liderança assuma responsabilidade e que o documento reflita a visão estratégica e os temas-chave para os diversos públicos de relacionamento.",single_hop_specifc_query_synthesizer
Como posso entrar em contato para esclarecer dúvidas sobre o Relatório Integrado 2022 da BRF?,"['neste relatório um importante instrumento de prestação \nde contas. Caso tenha dúvidas, sugestões ou apontamen-\ntos sobre o conteúdo do Relatório Integrado 2022, entre \nem contato pelo e-mail acoes@brf.com ou por telefone: \n(55 11) 2322-5377.\nTenha uma ótima leitura!\nNosso jeito de \nfazer negócios\nNossa estratégia\nCultura e  \nengajamento\nGeração de valor\nIndicadores  \ne anexo\n3\n3\n4\n5\n6\n2\n1\nRelatório  \nIntegrado 2022\nApresentação']","Para esclarecer dúvidas, sugestões ou apontamentos sobre o conteúdo do Relatório Integrado 2022, você pode entrar em contato pelo e-mail acoes@brf.com ou por telefone: (55 11) 2322-5377.",single_hop_specifc_query_synthesizer
O que é Dupla Materialidade?,"['Relato e materialidade   \nGRI 2-29, 3-1, 3-2\nEm linha com as Normas GRI e com as melhores prá-\nticas de relato e engajamento de stakeholders, atua-\nlizamos a nossa Matriz de Materialidade, utilizando a \nmetodologia de Dupla Materialidade. \nA perspectiva de dupla materialidade considera um \nolhar integrativo sobre os impactos gerados pelo ne-\ngócio na sociedade e no ambiente e, também, sobre \naspectos externos com poder de influência sobre \nnosso processo de criação de valor .\nPara isso, foram identificados stakeholders, responsá-\nveis por sinalizar e apoiar o processo de refinamento \nda lista de tópicos, processo sucedido por etapas de \npriorização de temas, análise e validação.\nMaterialidade BRF: variáveis analisadas\nImpacto socioambiental\n• tópico: impactos sociais e ambientais do negócio\n•  investimento numa perspectiva de especialistas \n(internos e externos)\n• avaliação de \nmagnitude e escopo\nImpacto financeiro\n•  tópico: riscos e vias de impactos  \nfinanceir\nos no negócio']","A Dupla Materialidade considera um olhar integrativo sobre os impactos gerados pelo negócio na sociedade e no ambiente, além de aspectos externos que influenciam o processo de criação de valor.",single_hop_specifc_query_synthesizer
Quais foram as principais atividades realizadas na análise de materialidade financeira da BRF?,"['Análise de contextos e identificação:  \npromovemos análises de documentos seto-\nriais, estudos, publicações e políticas corpo-\nrativas internas. \nRealização de consultas (priorização):  \nem seguida, levantamos perspectivas de impacto socioam-\nbiental e financeiro, bem como sobre a relevância dos temas \npara os públicos. Para isso, fizemos três agrupamentos para \no processo de consulta aos públicos. O primeiro foi voltado \nà análise da materialidade financeira, com 9 entrevistas \ncom lideranças da BRF, 5 com investidores e instituições \nfinanceiras e 23 participações na consulta on-line; tivemos \ntambém 6 reuniões de trabalho com gerentes e especialis-\ntas, nas quais avaliamos para cada tema a probabilidade \nPasso a passo\n1\nONGs / \nterceiro setor\nprovedores \nde capital\nintegrados\nfornecedores e  \nprestadores de serviço\nclientes\nde ocorrência dos riscos levantados e a magnitude dos \nimpactos financeiros associados. O segundo foi voltado']","Na análise de materialidade financeira da BRF, foram realizadas 9 entrevistas com lideranças da empresa, 5 com investidores e instituições financeiras, além de 23 participações na consulta on-line. Também ocorreram 6 reuniões de trabalho com gerentes e especialistas, onde foram avaliados os temas em relação à probabilidade de ocorrência dos riscos levantados e à magnitude dos impactos financeiros associados.",single_hop_specifc_query_synthesizer
Quais foram as fontes de informação consultadas pelos clientes no relatório integrado de 2022?,"['provedores \nde capital\nintegrados\nfornecedores e  \nprestadores de serviço\nclientes\nde ocorrência dos riscos levantados e a magnitude dos \nimpactos financeiros associados. O segundo foi voltado \nà materialidade socioambiental, com 6 entrevistas com \nespecialistas externos e 77 participações de especialis-\ntas internos e externos na consulta on-line. No terceiro \nagrupamento, voltado à percepção de relevância, foram \ncoletadas outras 3.006 respostas à consulta digital por \nclientes, fornecedores, prestadores de serviço, funcioná-\nrios, integrados, ONGs, imprensa e associações setoriais.  \n2\nimprensa\nfuncionários\nNosso jeito de \nfazer negócios\nNossa estratégia\nCultura e  \nengajamento\nGeração de valor\nIndicadores  \ne anexo\n3\n5\n4\n5\n6\n2\nApresentação1\nRelatório  \nIntegrado 2022']","No relatório integrado de 2022, foram coletadas 3.006 respostas à consulta digital por clientes, fornecedores, prestadores de serviço, funcionários, integrados, ONGs, imprensa e associações setoriais.",single_hop_specifc_query_synthesizer
