user_input,reference_contexts,reference,synthesizer_name
Qual é a importância do SASB no contexto do relatório integrado apresentado pela Braskem?,"['Sumário\nMensagem do líder de negócio\nMensagem do presidente do \nConselho de Administração\nDestaques de 2022\nA Braskem\nNossa cadeia de valor  \nNossos produtos\nEstratégia da companhia\nEstratégia de   \ncriação de valor  \nModelo de negócio  \nEcossistema  \nIntelius: gestão global  \nde performance  \nNossa jornada   \nem sustentabilidade  \nMatriz de materialidade  \nCompromissos para o   \ndesenvolvimento sustentável\n3\n \n6\n8\n9\n11 \n12\n13\n \n14 \n15 \n16\n17\n18\n19\n20 \nGovernança, ética  \ne conformidade\nEstrutura de governança  \nSistema de conformidade  \nConduta ética\nGestão de riscos\nPerformance de Capitais\nCapital Humano  \nCapital Social e  \n               de Relacionamento  \nCapital Financeiro  \nCapital Natural  \nCapital Manufaturado  \nCapital Intelectual\nSobre este Relatório\nSumário de conteúdo SASB\nSumário de conteúdo GRI\nCarta de Asseguração\n \n26\n27 \n29 \n31\n32\n34\n35 \n \n43 \n54 \n57 \n 74 \n 7 9\n84\n86\n89\n110\nPelo terceiro ano consecutivo apresentamos nosso Relatório Integrado']","O sumário de conteúdo SASB é uma parte do relatório integrado que destaca a gestão de performance e a sustentabilidade da Braskem, apresentando informações relevantes sobre a estrutura de governança, gestão de riscos e compromissos para o desenvolvimento sustentável.",single_hop_specifc_query_synthesizer
Como os padrões SASB são integrados no Relatório Integrado da Braskem e qual é a sua importância para a transparência e governança corporativa?,"['Sumário de conteúdo GRI\nCarta de Asseguração\n \n26\n27 \n29 \n31\n32\n34\n35 \n \n43 \n54 \n57 \n 74 \n 7 9\n84\n86\n89\n110\nPelo terceiro ano consecutivo apresentamos nosso Relatório Integrado \nelaborado com base nos padrões do Integrated Reporting Framework \n(IR) e reunindo indicadores GRI e SASB relevantes para nossos públicos \nde interesse – acionistas, investidores, integrantes, clientes, fornece-\ndores, parceiros, governo e sociedade. Com isso, reforçamos o com-\npromisso da Braskem com a transparência por meio da divulgação de \ninformações concisas e mensuráveis, asseguradas pelas melhores prá-\nticas em governança corporativa e de sustentabilidade. \nAo longo das próximas páginas estão os resultados da construção de uma \nestratégia de negócio cada dia mais integrada às nossas metas de desen-\nvolvimento sustentável e inovação – pilares estratégicos fundamentais \nque orientam o crescimento e o aprimoramento contínuo da companhia.\nBoa leitura! \nApresentação']","Os padrões SASB são integrados no Relatório Integrado da Braskem, que é elaborado com base nos padrões do Integrated Reporting Framework (IR) e reúne indicadores GRI e SASB relevantes para os públicos de interesse, como acionistas, investidores e sociedade. Essa integração reforça o compromisso da Braskem com a transparência, por meio da divulgação de informações concisas e mensuráveis, asseguradas pelas melhores práticas em governança corporativa e de sustentabilidade.",single_hop_specifc_query_synthesizer
Quais são as iniciativas da Braskem para liderar na produção de plásticos a partir de fontes renováveis?,"['Mensagem do líder do negócio\nAmpliando a liderança em matérias-primas renováveis\nSomos pioneiros e líderes globais na produção de plásticos feitos à base \nde fontes renováveis. Atualmente, temos a capacidade de produzir 200 \nmil toneladas por ano de eteno verde, produto químico feito por meio \ndo etanol da cana-de-açúcar, o qual é matéria-prima para a produção \nde polietileno da marca I’m green TM. Na época, o investimento foi uma \naposta para combater as mudanças do climáticas na indústria química \ne do plástico, cujo sucesso é percebido atualmente pela crescente de-\nmanda de nossos clientes por essa linha de produto.\nNa Braskem, entendemos o desenvolvimento sustentável como \no caminho para transformar nosso jeito de fazer negócios. Assim, \ndesde nossa fundação, buscamos mitigar impactos negativos e \nampliar os positivos por meio de soluções inovadoras e susten-\ntáveis da química e do plástico para melhorar a vida das pessoas.']","A Braskem é pioneira e líder global na produção de plásticos feitos à base de fontes renováveis, com capacidade de produzir 200 mil toneladas por ano de eteno verde, que é feito a partir do etanol da cana-de-açúcar. Este produto químico é matéria-prima para a produção de polietileno da marca I’m green TM. A empresa considera o desenvolvimento sustentável como essencial para transformar seus negócios, buscando mitigar impactos negativos e ampliar os positivos por meio de soluções inovadoras e sustentáveis na química e no plástico.",single_hop_specifc_query_synthesizer
Quais são as avenidas de crescimento relacionadas a negócios renováveis mencionadas no relatório?,"['desde nossa fundação, buscamos mitigar impactos negativos e \nampliar os positivos por meio de soluções inovadoras e susten-\ntáveis da química e do plástico para melhorar a vida das pessoas.\nEm 2022, avançamos de forma significativa nessa jornada por \nmeio da revisão e consolidação da nossa estratégia corpora-\ntiva, ancorada nos pilares estratégicos da sustentabilidade e da \ninovação – ambos fundamentais para viabilizar os projetos e \niniciativas relacionadas às nossas avenidas de crescimento: a \nambição de crescer, de forma sustentável, nos negócios de re-\nnováveis, reciclados e petroquímicos tradicionais.\nNossas avenidas de crescimento estão \nvinculadas aos compromissos que assu-\nmimos em 2020, que visam endereçar \nas preocupações globais da sociedade \nno longo prazo. Entre eles, definimos \na eliminação dos resíduos plásticos, o \ncombate às mudanças climáticas \ne a responsabilidade social, in-\ncluindo a promoção dos direitos \nhumanos, como temas cen-\ntrais para nossa atuação.']","As avenidas de crescimento estão vinculadas à ambição de crescer, de forma sustentável, nos negócios de renováveis, reciclados e petroquímicos tradicionais.",single_hop_specifc_query_synthesizer
Quais são os principais temas abordados pela Braskem em seu relatório de sustentabilidade de 2022?,"['a eliminação dos resíduos plásticos, o \ncombate às mudanças climáticas \ne a responsabilidade social, in-\ncluindo a promoção dos direitos \nhumanos, como temas cen-\ntrais para nossa atuação.\nGRI 2-22\nEsse movimento antecipado nos colocou na \nliderança da produção de polímeros feitos com \nmatéria-prima renovável e nos fez adquirir \ncada vez mais conhecimento da operação. \nAssim, no ano que passou, atingimos 95% \nde utilização da capacidade de produção \nde eteno verde e comercializamos cerca de \n179 mil toneladas de polietileno I’m greenTM.\nRoberto Bischoff\nLíder de negócio  \nda Braskem\n3\nRelatório Integrado 2022\nMensagem do \npresidente do Conselho \nde Administração\nMensagem do \nlíder de negócio\nDestaques de 2022\nA Braskem\nEstratégia da companhia\nGovernança, ética \ne conformidade\nGestão de riscos\nPerformance de capitais\nCapital Humano\nCapital Financeiro\nCapital Natural\nCapital Manufaturado\nCapital Social e \n de Relacionamento\nCapital Intelectual\nSobre este Relatório']","Os principais temas abordados pela Braskem em seu relatório de sustentabilidade de 2022 incluem a eliminação dos resíduos plásticos, o combate às mudanças climáticas e a responsabilidade social, que abrange a promoção dos direitos humanos. Além disso, a Braskem destaca sua liderança na produção de polímeros feitos com matéria-prima renovável e a utilização de 95% da capacidade de produção de eteno verde, comercializando cerca de 179 mil toneladas de polietileno I’m greenTM.",single_hop_specifc_query_synthesizer
Quais são os principais tópicos abordados no relatório?,['Gestão de riscos\nPerformance de capitais\nCapital Humano\nCapital Financeiro\nCapital Natural\nCapital Manufaturado\nCapital Social e \n de Relacionamento\nCapital Intelectual\nSobre este Relatório\nSumário de conteúdo SASB\nSumário de conteúdo GRI'],"Os principais tópicos abordados no relatório incluem Gestão de riscos, Performance de capitais, Capital Humano, Capital Financeiro, Capital Natural, Capital Manufaturado, Capital Social e de Relacionamento, e Capital Intelectual.",single_hop_specifc_query_synthesizer
Qual é a importância da joint venture com a Sojitz para a produção de bioprodutos?,"['Para 2030, temos o compromisso de ampliar para 1 milhão de tone-\nladas a capacidade de produção de bioprodutos. Obtivemos avanços \nimportantes nessa frente ao longo do ano: evoluímos com a expansão \nda atual unidade de produção de eteno verde para 260 mil toneladas, \ncuja expectativa de conclusão em 2023, e lançamos uma joint venture  \ncom a Sojitz para a produção e comercialização de monoetilenoglicol \ne monopropilenoglicol feitos com matéria-prima renovável. Chamada \nSustainea, a joint venture é resultado de muitos anos de pesquisa e \ndesenvolvimento nessa jornada tecnológica.\nFechando o ciclo dos nossos produtos\nApostamos em um modelo de negócio cada vez mais circular que seja \ncapaz de reinserir nossos produtos na cadeia de valor e evitar o descarte \ninadequado de resíduos plásticos. Para isso, desafiamo-nos a expandir \npara 1 milhão de toneladas a comercialização de resinas e químicos com \nconteúdo reciclado, assim como recuperar 1,5 milhão de toneladas de']","A joint venture com a Sojitz, chamada Sustainea, é importante porque resulta de muitos anos de pesquisa e desenvolvimento e visa a produção e comercialização de monoetilenoglicol e monopropilenoglicol feitos com matéria-prima renovável.",single_hop_specifc_query_synthesizer
Quantas grades de resinas estão em desenvolvimento?,"['para 1 milhão de toneladas a comercialização de resinas e químicos com \nconteúdo reciclado, assim como recuperar 1,5 milhão de toneladas de \nresíduos plásticos até 2030.\nNesse sentido, em 2022 lançamos um novo ecossistema de circularidade, \no Wenew, com o intuito de consolidar e fortalecer todas as nossas frentes \nde atuação, como produtos circulares (resinas e químicos), iniciativas de \neducação ambiental e descarte adequado, tecnologias e design circular. \nAs ações implementadas já apresentam resultados importantes: alcan-\nçamos 40 grades de resinas com conteúdo reciclado em portfólio e 42 \ngrades em desenvolvimento. Além disso, vendemos 54 mil toneladas de \nresinas e outros produtos com característica circular e recuperamos 33,5 \nmil toneladas em resíduos plásticos por meio de investimentos e parcerias \nem novos negócios, de programas socioambientais e de alianças setoriais. \nPara impulsionar a atuação nesse tema, avançamos com novos investi-']","Atualmente, 42 grades de resinas estão em desenvolvimento.",single_hop_specifc_query_synthesizer
Qual é o papel da Nexus Circular nas iniciativas de reciclagem química?,"['em novos negócios, de programas socioambientais e de alianças setoriais. \nPara impulsionar a atuação nesse tema, avançamos com novos investi-\nmentos para desenvolver a cadeia do plástico e alavancar a reciclagem. \nAssim, em fevereiro de 2023, concluímos o processo de aquisição de \nações e subscrição de novas ações de emissão da Wise Plásticos S.A., \nempresa do setor de reciclagem mecânica focada em resinas de po-\nlipropileno (PP). Também anunciamos a formação de uma  joint ven-\nture com a ER Plastics, empresa holandesa, que utiliza uma tecnologia \ninovadora que converte resíduos plásticos de baixa qualidade em pro-\ndutos finais. Nos Estados Unidos, adquirimos participaçao minoritaria \nna Nexus Circular, empresa de reciclagem química.\nCrescimento com foco nas mudanças climáticas\nAssumimos o compromisso de chegar em 2030 com uma redução ab-\nsoluta de 15% nas emissões de gases de efeito estufa (GEE) dos nossos \nprocessos produtivos e decorrentes da compra de energia, e alcançar a']","A Nexus Circular é uma empresa de reciclagem química na qual adquirimos participação minoritária. Ela utiliza uma tecnologia inovadora que converte resíduos plásticos de baixa qualidade em produtos finais, contribuindo para o desenvolvimento da cadeia do plástico e alavancando a reciclagem.",single_hop_specifc_query_synthesizer
Qual é a importância da Curva de Custo Marginal de Abatimento na análise de projetos de sustentabilidade?,"['soluta de 15% nas emissões de gases de efeito estufa (GEE) dos nossos \nprocessos produtivos e decorrentes da compra de energia, e alcançar a \nneutralidade de carbono até 2050. Assim, ancorada na estratégia corpora-\ntiva, a nossa atuação visa  alcançar esses compromissos.\nPara orientar o caminho no sentido dos compromissos assumidos, reali-\nzamos a análise de projetos potenciais com base no desenvolvimento de \numa Curva de Custo Marginal de Abatimento (Curva MAC) de emissões \nde GEE. O resultado foi o mapeamento de mais de uma centena projetos, \nentre iniciativas de eficiência energética, aquisição de energia renovável, \ncaptura e conversão de carbono e ampliação da base de matérias-primas \nrenováveis. Os projetos mapeados pela curva tem potencial de reduzir \naté 3,4 milhões de toneladas de CO₂e.\nOs projetos mapeados foram priorizados e estão sendo geridos dentro do \nprograma de descarbonização industrial, responsável por implementar']","A Curva de Custo Marginal de Abatimento é utilizada para orientar o caminho em direção aos compromissos de redução de emissões de gases de efeito estufa (GEE). Ela permite o mapeamento de projetos potenciais, priorizando iniciativas que podem reduzir até 3,4 milhões de toneladas de CO₂e, como eficiência energética e aquisição de energia renovável.",single_hop_specifc_query_synthesizer
