user_input,reference_contexts,reference,synthesizer_name
Quais informações estão disponíveis no Relatório Anual da Eletrobras de 2023?,['Relatório Anual \nEletrobras 2023'],"O Relatório Anual da Eletrobras de 2023 contém informações detalhadas sobre as atividades e resultados da empresa durante o ano, incluindo aspectos financeiros, operacionais e de sustentabilidade.",single_hop_specifc_query_synthesizer
Como a governança é abordada no contexto dos relatórios anuais de sustentabilidade da Eletrobras?,"['Sumário\nBoas-vindas\nApresentação .............................................................04\nMensagem da administração .................................06\nTemas materiais .........................................................08\nRelação com stakeholders ........................................ 13\nDestaques 2023 .........................................................15 \n1. A Eletrobras\nPerfil ..............................................................................20\nJornada de transformação  ..................................... 26\nPlanejamento estratégico .......................................28\nGestão da sustentabilidade ....................................32\n2. Governança\nGovernança corporativa ..........................................40\nEstrutura de governança .........................................41\nÉtica, integridade e compliance ..............................48\nGestão de riscos ........................................................ 61']","No contexto dos relatórios anuais de sustentabilidade da Eletrobras, a governança é abordada em várias seções, incluindo 'Governança corporativa', 'Estrutura de governança', 'Ética, integridade e compliance' e 'Gestão de riscos', que são discutidas a partir da página 40 até a página 61.",single_hop_specifc_query_synthesizer
Quais são os tópicos relacionados ao desempenho operacional mencionados no documento?,"['Ética, integridade e compliance ..............................48\nGestão de riscos ........................................................ 61\nRelações governamentais .......................................62\n3. Prosperidade\nDesempenho operacional .......................................66\nResultados financeiros .............................................72\nComercialização ........................................................77\nInovação e tecnologia ..............................................80\nGestão da cadeia de suprimentos .........................87 \n4. Pessoas\nNossos profissionais .................................................90 \nAtração e retenção de profissionais .....................93 \nDiversidade e inclusão ...........................................102\nSaúde, bem-estar e segurança dos profissionais 108\nDireitos humanos  ................................................... 115\nRelacionamento com comunidades ...................118\n5. Planeta']","O desempenho operacional é mencionado na seção 3 do documento, que trata da prosperidade, e está listado na página 66.",single_hop_specifc_query_synthesizer
Quais são os principais tópicos abordados no RELATÓRIO ANUAL de 2023?,"['Saúde, bem-estar e segurança dos profissionais 108\nDireitos humanos  ................................................... 115\nRelacionamento com comunidades ...................118\n5. Planeta\nGestão ambiental ....................................................134 \nMudanças climáticas ..............................................137 \nGestão de água e efluentes ..................................149\nBiodiversidade e serviços ecossistêmicos .........156\nAnexos \nCarta de asseguração  ............................................168\nÍndice de conteúdo GRI ..........................................171\nCréditos ......................................................................180\nRELATÓRIO ANUAL\n2023\n2\nRELATÓRIO ANUAL\n2023']","O RELATÓRIO ANUAL de 2023 aborda os seguintes tópicos principais: saúde, bem-estar e segurança dos profissionais; direitos humanos; relacionamento com comunidades; gestão ambiental; mudanças climáticas; gestão de água e efluentes; biodiversidade e serviços ecossistêmicos.",single_hop_specifc_query_synthesizer
Quais são os principais temas abordados no relatorio anual de 2023?,"['Boas-vindas\nUHE PAI, II e III - Foto: André Schuler\n3\n » Apresentação\n » Mensagem da administração\n » Temas materiais\n » Relação com stakeholders\n » Destaques\nRELATÓRIO ANUAL\n2023']","Os principais temas abordados no relatório anual de 2023 incluem a apresentação, mensagem da administração, temas materiais, relação com stakeholders e destaques.",single_hop_specifc_query_synthesizer
Qual é a importância da Eletrobras CGT Eletrosul no contexto do Relatório Anual 2023 da Eletrobras e como ele se relaciona com a estratégia de sustentabilidade da empresa?,"['Bem-vindo(a) ao Relatório Anual 2023 da Eletrobras. \nPor meio deste documento, reafirmamos nosso \ncompromisso com a sustentabilidade e a transparência, \ndivulgando aos stakeholders  como nossa estratégia e \nforma de gestão geraram valor entre 1.º de janeiro e 31 \nde dezembro de 2023.  GRI 2-3\nPela primeira vez na história da \nEletrobras, divulgamos um relatório \nconsolidado com informações da \nholding e das cinco subsidiárias \n(Eletrobras CGT Eletrosul, Furnas, \nChesf, Eletronorte e Eletropar). GRI 2-2\nO conteúdo foi construído conforme o framework  de \nsustentabilidade das empresas Eletrobras, considerando \nfatores ambientais, sociais e de governança (ESG - sigla \nem inglês para environmental, social and governance), e \norganizado em quatro grandes pilares: Governança, \nProsperidade, Pessoas e Planeta. \nApresentação\nComo ler este Relatório?\nAo longo do relatório, utilizamos ícones \npara indicar os conteúdos referentes às \nmetodologias utilizadas.\n » Ao longo do texto, destacamos os']","A Eletrobras CGT Eletrosul é uma das cinco subsidiárias incluídas pela primeira vez em um relatório consolidado da Eletrobras, que abrange informações da holding e de todas as subsidiárias. Este relatório reafirma o compromisso da Eletrobras com a sustentabilidade e a transparência, destacando como a estratégia e a forma de gestão da empresa geraram valor ao longo de 2023. O conteúdo do relatório foi construído com base no framework de sustentabilidade da Eletrobras, considerando fatores ambientais, sociais e de governança (ESG), e organizado em quatro pilares: Governança, Prosperidade, Pessoas e Planeta.",single_hop_specifc_query_synthesizer
Qual é a relação entre Eletrobras e os ODS da Agenda 2030?,"['Apresentação\nComo ler este Relatório?\nAo longo do relatório, utilizamos ícones \npara indicar os conteúdos referentes às \nmetodologias utilizadas.\n » Ao longo do texto, destacamos os \nindicadores GRI reportados no conteúdo \nao lado do título dos capítulos ou ao final \nde cada parágrafo.\n » Na abertura de cada capítulo, \nmostramos qual a relação de seu \nconteúdo com os ODS da Agenda 2030 \npriorizados pelas empresas Eletrobras \n(saiba mais na página 36).\n » Na abertura de cada capítulo, mostramos \ncom qual Capital do Relato Integrado \nseu conteúdo está relacionado (saiba \nmais na página 31).\nAs informações são apresentadas conforme as normas \nda Global Reporting Initiative (GRI), além de outros \npadrões e boas práticas globais e setoriais para o relato \nempresarial de sustentabilidade, incluindo:\n » Estrutura de Relato Integrado do International \nIntegrated Reporting Council (IIRC);\n » Métricas do Capitalismo de Stakeholders, do Fórum \nEconômico Mundial;']","Na abertura de cada capítulo do relatório, é mostrada a relação do conteúdo com os ODS da Agenda 2030 priorizados pelas empresas Eletrobras.",single_hop_specifc_query_synthesizer
Quais são as diretrizes da Sustentability Accounting Standards Board?,"['» Estrutura de Relato Integrado do International \nIntegrated Reporting Council (IIRC);\n » Métricas do Capitalismo de Stakeholders, do Fórum \nEconômico Mundial;\n » Objetivos de Desenvolvimento Sustentável (ODS);\n » Diretrizes da Sustainability Accounting Standards \nBoard (SASB);\n » Recomendações da Task Force on Climate-related \nFinancial Disclosures (TCFD);\n » Princípios do Pacto Global da Organização das \nNações Unidas (ONU);\n » Manual de Contabilidade do Setor Elétrico da Agência \nNacional de Energia Elétrica (Aneel). \nSomos membros da Comunidade GRI, uma rede \nglobal para a troca de conhecimentos no reporte \nde sustentabilidade, que apoia a evolução e \natualização das diretrizes GRI.\nRELATÓRIO ANUAL\n2023\n4\n » Apresentação\n » Mensagem da administração\n » Temas materiais\n » Relação com stakeholders\n » Destaques']","As diretrizes da Sustainability Accounting Standards Board (SASB) são mencionadas como parte das métricas e recomendações que orientam o relato de sustentabilidade, juntamente com outras estruturas como o IIRC e os ODS.",single_hop_specifc_query_synthesizer
Qual é a aprovaçã da Diretoria Executiva no relatório?,"['*Este relatório encontra-se na sua 2 a edição por conter ajustes e/ou notas explicativas adicionais na \npágina 146.\nAs informações não financeiras do relatório foram asseguradas e auditadas por \numa terceira parte independente (saiba mais na página 168) como componente \ndo processo de elaboração do documento. Já as informações financeiras foram \nasseguradas nas  Demonstrações Financeiras da Companhia . GRI 2-5\nOs conteúdos foram avaliados por representantes da sustentabilidade empresarial \ndas empresas Eletrobras, que têm como responsabilidade coordenar a elaboração do \nrelatório anual de acordo com os padrões internacionais aceitos, como o Global Reporting \nInitiative (GRI) e International Integrated Reporting Council (IIRC). O documento final foi \ntambém submetido ao Comitê de Estratégia, Governança e Sustentabilidade e aprovado \npela Diretoria Executiva e pelo Conselho de Administração*. G R I 2-14\nBoa leitura!\n   CONTATO GRI 2-3']","O documento final foi submetido ao Comitê de Estratégia, Governança e Sustentabilidade e aprovado pela Diretoria Executiva e pelo Conselho de Administração.",single_hop_specifc_query_synthesizer
Quais são as aprovações necessárias do Conselho de Administração para os relatórios anuais de sustentabilidade?,"['também submetido ao Comitê de Estratégia, Governança e Sustentabilidade e aprovado \npela Diretoria Executiva e pelo Conselho de Administração*. G R I 2-14\nBoa leitura!\n   CONTATO GRI 2-3\nEm caso de dúvidas ou comentários sobre os conteúdos apresentados,  \nentre em contato com o nosso time de sustentabilidade: \nsustentabilidade@eletrobras.com\nEntregas de valor\nAo longo de 2024, iremos reportar uma série de \nrelatórios referentes à nossa estratégia e performance de \nsustentabilidade, com conteúdos que complementam e \naprofundam os deste relatório anual:\n » Resumo Executivo, com os principais destaques do \nRelatório Anual.\n » Caderno de Indicadores, com o reporte dos indicadores \nGRI da Eletrobras e SPEs. \n » Cadernos Temáticos, que aprofundam o reporte de \nnossa gestão e iniciativas em temas específicos como \nRelacionamento com Comunidades e Biodiversidade. \n » Relatórios SASB, TCFD, IFRS e de Finanças Sustentáveis, \nem atendimento a outras diretrizes. \n » Caderno ODS.']","Os relatórios anuais de sustentabilidade devem ser submetidos ao Comitê de Estratégia, Governança e Sustentabilidade e aprovados pela Diretoria Executiva e pelo Conselho de Administração.",single_hop_specifc_query_synthesizer
"Quais informações sobre Eletrobras podem ser encontradas no relatório anual de sustentabilidade, especialmente em relação ao relacionamento com comunidades e biodiversidade?","['Relacionamento com Comunidades e Biodiversidade. \n » Relatórios SASB, TCFD, IFRS e de Finanças Sustentáveis, \nem atendimento a outras diretrizes. \n » Caderno ODS.\nVocê poderá acessar esses documentos na página de \nSustentabilidade do Portal Eletrobras.\nQueda d’água na CGH Cachoeira Branca - Foto: Vivianne Nunes\n5\nRELATÓRIO ANUAL\n2023\n » Apresentação\n » Mensagem da administração\n » Temas materiais\n » Relação com stakeholders\n » Destaques']","No relatório anual de sustentabilidade da Eletrobras, você pode encontrar informações sobre o relacionamento com comunidades e biodiversidade, além de relatórios SASB, TCFD, IFRS e de Finanças Sustentáveis, que atendem a outras diretrizes. Esses documentos estão disponíveis na página de Sustentabilidade do Portal Eletrobras.",single_hop_specifc_query_synthesizer
